word	Frequency
может	1507110
есть	121298
является	817990
году	693860
имеет	444057
стоит	443737
люди	395976
человек	393682
следует	353776
компания	304116
позволяет	292386
количество	226732
работа	226398
система	226271
часть	218039
дело	211258
находится	208095
происходит	202141
вопрос	196238
говорит	193383
работает	180474
связи	173005
существует	171912
становится	168315
дети	167608
правило	164722
зависит	163784
стоимость	161227
составляет	160435
идет	158001
цена	144530
возможность	143874
информация	133774
процесс	133143
программа	133064
представляет	131358
дает	131263
решение	130817
жизнь	129226
место	129110
большинство	126226
история	125143
проблема	123046
россия	121265
используется	120728
специалисты	120517
центр	118597
автор	118533
речь	117900
уровень	116428
вариант	115575
делает	115435
проект	114340
ребенок	113972
бывает	112710
касается	110869
время	110779
дом	109601
требуется	109221
состоит	108775
способ	108365
день	107145
требует	106935
предлагает	106869
директор	106866
выбор	106652
хочет	106367
проблемы	105754
остается	105645
хочется	104304
использование	102713
опыт	102532
группа	101578
приходится	100514
знает	99496
организация	99465
качество	99354
получается	98773
кажется	98728
женщина	98589
вид	98050
город	97922
считается	97857
мир	97849
главное	97596
наличие	97152
помогает	96927
развитие	95889
осуществляется	94224
ситуация	93347
глава	91972
средства	91553
москва	91032
множество	90422
начинает	89675
материалы	89435
вода	89334
результат	88930
обладает	86790
означает	85853
задача	85647
возникает	85466
создание	85381
данные	85117
имеется	84849
представители	84777
условия	84346
фото	83989
цель	83794
сайт	82908
отличается	81845
анализ	81647
форма	81462
проходит	81458
раз	81213
обеспечивает	80987
приводит	80952
подходит	80945
размер	80870
результаты	80723
руководитель	80563
заключается	80179
работы	80168
относится	80070
рекомендуется	79636
родители	79332
нравится	79238
вопросы	78976
материал	78894
книга	78783
цены	77751
сотрудники	77698
игра	77687
модель	76103
президент	75983
проводится	75725
включает	75345
бог	75324
название	75016
слово	74971
начинается	74787
отсутствие	74779
управление	74554
число	73796
считает	73571
входит	73562
отец	73540
содержит	73375
интернет	72912
компании	72666
участники	72653
значит	72374
девушка	72154
мама	72049
сообщает	70320
деньги	70272
ответ	69851
лечение	69681
состояние	68981
метод	68643
называется	68161
команда	68099
оборудование	68061
рост	67548
закон	67351
женщины	67074
мужчина	66985
тема	66862
оказывается	66708
год	66662
вызывает	66438
виды	66363
пишет	65588
объем	65551
статья	65221
идея	65220
срок	65032
любовь	64685
особенности	64557
ооо	64326
спасибо	64211
выглядит	64180
врач	63897
показывает	63752
применение	63687
факт	63507
слова	63502
председатель	63402
сумма	63304
занимает	62787
суд	62566
появляется	62439
жители	62101
бизнес	62062
описание	62016
цвет	61901
школа	61857
методы	61843
изменения	61375
фильм	61354
производится	61163
деятельность	60745
сведения	60616
строительство	60560
отношения	60560
средство	60504
хватает	60489
комплекс	60161
заместитель	60029
установка	59760
получает	59546
производство	59504
документы	59353
требования	59134
температура	59085
дизайн	58470
минимум	58432
сын	57875
ребята	57875
новости	57611
область	57242
способствует	57148
любит	57119
семья	57041
банк	56953
применяется	56744
системы	56696
имя	56636
технологии	56478
номер	56460
эффект	56153
подход	56142
занимается	56053
народ	55621
машина	55371
ремонт	55037
определяется	54465
разработка	54463
